"congno","sticpsr","cd","stalpha","occup","score1","score2","year","stgj","po","dv","dvp","redist","i2","demqa","i1","demqal","nstate","dpvote","normvote","dvfix","dvpfix"
97,48,5,"SOUTH","C",0,-0.083,0.251,82,40,0,0.676,NA,1,0,NA,1,"1","South_Ca",0.54736,0.475779441820658,0.676
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,48,6,"SOUTH","C",0,0.212,0.147,82,40,1,0.525,0.482,1,-1,0,1,"1","South_Ca",0.5473,0.475719441820659,0.625
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,37,1,"SOUTH","D",0,-0.169,-0.052,82,41,0,0.516,NA,1,NA,0,1,"0","South_Da",0.38542,0.380219307237116,NA
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,54,1,"TENNESS","0",0.232,0.125,82,42,0,0.235,NA,1,-1,-1,-1,-1,"Tennesse","0.3711",0.298441119044134,0.335,NA
97,54,2,"TENNESS","0",0.191,0.095,82,42,0,NA,0.239,1,-1,-1,-1,-1,"Tennesse","0.39901",0.326351119044134,NA,0.339
97,54,3,"TENNESS","0",0.06,0.251,82,42,0,0.63,0.611,1,1,1,1,1,"Tennesse","0.42141",0.348751119044134,0.53,0.511
97,54,4,"TENNESS","0",-0.199,0.07,82,42,0,0.661,NA,1,0,NA,1,1,"Tennesse","0.58087",0.508211119044134,0.661,NA
97,54,5,"TENNESS","0",-0.116,0.197,82,42,0,0.802,0.654,1,1,1,1,1,"Tennesse","0.5999",0.527241119044134,0.702,0.554
97,54,6,"TENNESS","0",0.246,0.05,82,42,0,NA,0.793,1,1,1,-1,-1,"Tennesse","0.45136",0.378701119044134,NA,0.893
97,54,7,"TENNESS","0",-0.078,0.28,82,42,0,0.495,NA,1,0,1,1,1,"Tennesse","0.48571",0.413051119044134,0.495,NA
97,54,8,"TENNESS","0",-0.391,-0.072,82,42,0,0.749,0.773,1,1,1,1,1,"Tennesse","0.69789",0.625231119044134,0.649,0.673
97,49,1,"TEXAS","0",0.183,0.277,82,43,0,NA,NA,1,1,1,1,1,"Texas","0.50643",0.456460583224617,NA,NA
97,49,2,"TEXAS","0",-0.065,0.262,82,43,0,NA,0.701,1,1,1,1,1,"Texas","0.49122",0.441250583224617,NA,0.601
97,49,3,"TEXAS","0",0.775,-0.237,82,43,0,0.22,0.185,1,0,-1,-1,-1,"Texas","0.23791",0.187940583224617,0.22,0.285
